[-32.6718635559082, -0.07231020927429199]
[-32.472373962402344, 0.055965524166822433]
[-32.295223236083984, -0.012454226613044739]
[-32.105506896972656, 0.03269538655877113]
[-31.92608642578125, 0.023661229759454727]
[-31.76028060913086, 0.01744406670331955]
[-31.611927032470703, 0.041995175182819366]
[-31.479106903076172, 0.0065699974074959755]
[-31.356584548950195, 0.07037368416786194]
[-31.24610710144043, -0.033173032104969025]
[-31.13876724243164, 0.040179263800382614]
[-31.034748077392578, -0.04100305959582329]
[-30.927583694458008, -0.007495267316699028]
[-30.817453384399414, 0.02027042582631111]
[-30.725473403930664, -0.036095235496759415]
[-30.658103942871094, -0.016812345013022423]
[-30.596494674682617, 0.0220576673746109]
[-30.55181312561035, -0.0006943184998817742]
[-30.510623931884766, -0.045838844031095505]
[-30.473098754882812, 6.324175046756864e-05]
[-30.442729949951172, -0.038140904158353806]
[-30.430164337158203, -0.047336187213659286]
[-30.420740127563477, 0.052687980234622955]
[-30.419692993164062, 0.04626492038369179]
[-30.423532485961914, -0.024285297840833664]
[-30.430164337158203, 0.012932789511978626]
[-30.442031860351562, 0.002249347511678934]
[-30.471179962158203, -0.010426972061395645]
[-30.514812469482422, -0.02599494904279709]
[-30.56455421447754, -0.0494830347597599]
[-30.619882583618164, -0.0034959104377776384]
[-30.67817497253418, -0.0033367876894772053]
[-30.741531372070312, 0.01028272695839405]
[-30.813262939453125, 0.027030495926737785]
[-30.887439727783203, 0.017153162509202957]
[-30.969993591308594, -0.017757562920451164]
[-31.07000160217285, 0.014498157426714897]
[-31.193571090698242, -0.048195693641901016]
[-31.3208065032959, -0.04581698030233383]
[-31.446121215820312, 0.0037769386544823647]
[-31.563405990600586, -0.018504375591874123]
[-31.6801700592041, 0.015914084389805794]
[-31.81298828125, 0.0007115742773748934]
[-31.948078155517578, 0.008459227159619331]
[-32.09241485595703, -0.03590774908661842]
[-32.2589225769043, -0.009700357913970947]
[-32.43397521972656, 0.03089846856892109]
[-32.60309982299805, 0.020935844630002975]
[-32.78409194946289, -0.041055694222450256]
[-32.961936950683594, -0.042573317885398865]
[-33.15741729736328, 0.02479431964457035]
[-33.35219192504883, 0.08532992750406265]
[-33.56390380859375, -0.01249663159251213]
[-33.777530670166016, -0.0043489523231983185]
[-34.01227951049805, 0.004328345879912376]
[-34.23533248901367, 0.024200046434998512]
[-34.46937942504883, -0.06832273304462433]
[-34.713375091552734, 0.061308667063713074]
[-34.96592712402344, 0.004437159281224012]
[-35.22074508666992, 0.042100075632333755]
[-35.486209869384766, 0.012967457063496113]
[-35.74660873413086, 0.013640927150845528]
[-36.02132797241211, 0.03890300542116165]
[-36.2979621887207, -0.0659213736653328]
[-36.569358825683594, 0.0049778674729168415]
[-36.848960876464844, 0.038225408643484116]
[-37.118614196777344, -0.014072151854634285]
[-37.363311767578125, 0.0351383201777935]
[-37.615333557128906, -0.022883469238877296]
[-37.864742279052734, -0.05449844151735306]
[-38.10664749145508, 0.006669978611171246]
[-38.36338424682617, -0.056834232062101364]
[-38.607383728027344, 0.047806382179260254]
[-38.80931854248047, -0.04416225850582123]
[-39.00811004638672, -0.13076072931289673]
[-39.221561431884766, -0.06364881247282028]
[-39.43309783935547, -0.04799295589327812]
[-39.63852310180664, 0.030701378360390663]
[-39.836090087890625, 0.015557355247437954]
[-39.992122650146484, -0.004889647010713816]
[-40.1287841796875, -0.02066081203520298]
[-40.2794075012207, -0.09272612631320953]
[-40.42776107788086, -0.06272558867931366]
[-40.56354904174805, -0.041315943002700806]
[-40.68693923950195, 0.009094773791730404]
[-40.80370330810547, -0.051991529762744904]
[-40.91139221191406, -0.01586064323782921]
[-41.014015197753906, -0.032463058829307556]
[-41.12152862548828, -0.06112884730100632]
[-41.21996307373047, 0.07736805826425552]
[-41.312294006347656, -0.009168914519250393]
[-41.397987365722656, -0.07252315431833267]
[-41.48560333251953, -0.04116440936923027]
[-41.56361770629883, -0.030302315950393677]
[-41.64023971557617, -0.00045251683332026005]
[-41.731868743896484, 0.03552400320768356]
[-41.8210563659668, -0.09095832705497742]
[-41.91233444213867, -0.015173560008406639]
[-42.01618576049805, -0.01401561126112938]
[-42.13992691040039, 0.015919694676995277]
[-42.26663589477539, -0.007773904129862785]
[-42.41184997558594, -0.06260774284601212]
[-42.56125259399414, -0.022935451939702034]
[-42.72967529296875, -0.01275786105543375]
[-42.89391326904297, -0.06551826745271683]
[-43.075775146484375, -0.002825093688443303]
[-43.26129913330078, -0.06355254352092743]
[-43.46707534790039, -0.043752074241638184]
[-43.67372512817383, -0.02575029619038105]
[-43.88996887207031, 0.013753924518823624]
[-44.13100051879883, -0.02901526167988777]
[-44.384769439697266, 0.04047897458076477]
[-44.634700775146484, 0.029045550152659416]
[-44.88550567626953, -0.006853244733065367]
[-45.162139892578125, -0.022353408858180046]
[-45.41416549682617, -0.016903944313526154]
[-45.682594299316406, -0.04626834765076637]
[-45.98227310180664, -0.04511856660246849]
[-46.284908294677734, -0.009373725391924381]
[-46.624725341796875, 0.012194090522825718]
[-46.95564270019531, 0.026671459898352623]
[-47.29912185668945, -0.03535421937704086]
[-47.65953063964844, -0.08637269586324692]
[-48.004581451416016, 0.053214676678180695]
[-48.38017654418945, 0.03093765303492546]
[-48.76519775390625, -0.0312502421438694]
[-49.16068649291992, 0.03057866543531418]
[-49.56037139892578, -0.03812640160322189]
[-49.98431396484375, 0.04596654325723648]
[-50.41732406616211, 0.0025715650990605354]
[-50.85906982421875, 0.03238571435213089]
[-51.30535125732422, 0.06524330377578735]
[-51.7888069152832, -0.02441878244280815]
[-52.27959060668945, -0.002920640865340829]
[-52.77875518798828, 0.01758577674627304]
[-53.28542709350586, -0.027060963213443756]
[-53.746192932128906, -0.03148321062326431]
[-54.23052215576172, -0.018190627917647362]
[-54.74871063232422, -0.01880192570388317]
[-55.191673278808594, 0.057073455303907394]
[-55.69345474243164, 0.0070501365698874]
[-56.13432693481445, -0.011535187251865864]
[-56.57415008544922, -0.0036224524956196547]
[-57.0153694152832, 0.03581447899341583]
[-57.4490852355957, -0.04806661605834961]
[-57.84911346435547, 0.06687130779027939]
[-58.25804138183594, -0.0017639031866565347]
[-58.65388488769531, 0.018704047426581383]
[-59.04937744140625, -0.005616255570203066]
[-59.42444610595703, 0.015182646922767162]
[-59.78834915161133, -0.04210546240210533]
[-60.137935638427734, -0.02668151818215847]
[-60.48298645019531, 0.08690139651298523]
[-60.838687896728516, -0.011072869412600994]
[-61.16837692260742, 0.0218349639326334]
[-61.490047454833984, 0.007807777728885412]
[-61.80507278442383, -0.004628877621144056]
[-62.07909393310547, -0.07701043039560318]
[-62.36323165893555, -0.0008244127384386957]
[-62.65190887451172, 0.007591607049107552]
[-62.93413162231445, 0.0035691726952791214]
[-63.18580627441406, -0.03699173778295517]
[-63.45633316040039, 0.021715404465794563]
[-63.733489990234375, 0.08599288761615753]
[-63.98551559448242, 0.03394319862127304]
[-64.2286376953125, -0.018787026405334473]
[-64.45972442626953, 0.03128998354077339]
[-64.71000671386719, -0.010675892233848572]
[-64.95365142822266, 0.008076774887740612]
[-65.14179992675781, -0.093613401055336]
[-65.34791564941406, -0.10146410018205643]
[-65.55805969238281, -0.078858882188797]
[-65.7538833618164, 0.04887082055211067]
[-65.97850799560547, 7.674485823372379e-05]
[-66.22355651855469, 0.09894762933254242]
[-66.4748764038086, 0.06105430796742439]
[-66.74977111816406, -0.016791753470897675]
[-67.04263305664062, 0.0038209392223507166]
[-67.35888671875, 0.008245866745710373]
[-67.72191619873047, -0.03856511414051056]
[-68.04881286621094, -0.02666298858821392]
[-68.40870666503906, -0.039089933037757874]
[-68.7940673828125, 0.024258561432361603]
[-69.20021057128906, -0.023484310135245323]
[-69.63723754882812, 0.06228385865688324]
[-70.00061798095703, -0.03894246369600296]
[-70.42525482177734, 0.02271881140768528]
[-70.86856842041016, 0.05833778530359268]
[-71.29879760742188, 0.001003420795314014]
[-71.77911376953125, 0.06591454893350601]
[-72.24284362792969, -0.01419986691325903]
[-72.75125122070312, -0.019052613526582718]
[-73.27660369873047, 0.05413567274808884]
[-73.8014144897461, -0.020501257851719856]
[-74.36184692382812, -0.03693753480911255]
[-74.92611694335938, -0.031437523663043976]
[-75.52266693115234, -0.03820038214325905]
[-76.13021087646484, -0.0036709553096443415]
[-76.75993347167969, 0.004173772409558296]
[-77.38684844970703, -0.02434895932674408]
[-77.9525146484375, -0.07605081796646118]
[-78.5766372680664, 0.01690148189663887]
[-79.17005157470703, 0.0664040669798851]
[-79.7884292602539, -0.037508025765419006]
[-80.36578369140625, -0.05105772614479065]
[-80.97438049316406, 0.04794720560312271]
[-81.56098175048828, 0.023654073476791382]
[-82.12454986572266, -0.06285364180803299]
[-82.70382690429688, -0.06088350713253021]
[-83.2366714477539, -0.06655120849609375]
[-83.7452621459961, -0.09385587275028229]
[-84.2634506225586, -0.01118556596338749]
[-84.76679992675781, -0.005244542378932238]
[-85.2907485961914, 0.004226496908813715]
[-85.80632019042969, -0.06454107910394669]
[-86.23357391357422, 0.03747297450900078]
[-86.70917510986328, 0.036719780415296555]
[-87.1844253540039, 0.005861980840563774]
[-87.6446762084961, -0.06148901209235191]
[-88.12586975097656, 0.013715985231101513]
[-88.57493591308594, -0.025973010808229446]
[-89.02191925048828, -0.03086390160024166]
[-89.45999908447266, -0.0056951637379825115]
[-89.89632415771484, 0.04566448926925659]
[-90.31625366210938, 0.009592006914317608]
[-90.74455261230469, -0.011286027729511261]
[-91.15401458740234, 0.05869133770465851]
[-91.55997467041016, 0.017824888229370117]
[-91.9488296508789, 0.015295281074941158]
[-92.32460021972656, -0.005969956051558256]
[-92.69705200195312, -0.022400744259357452]
[-93.04175567626953, -0.05317981168627739]
[-93.38681030273438, 0.047951482236385345]
[-93.75245666503906, -0.022830594331026077]
[-94.09366607666016, -0.038462083786726]
[-94.37117004394531, 0.0023503811098635197]
[-94.71710205078125, 0.015442697331309319]
[-95.09042358398438, -0.04026799276471138]
[-95.46479797363281, 0.01821035146713257]
[-95.8138656616211, -0.04621364176273346]
[-96.19975280761719, -0.03424834460020065]
[-96.59123229980469, -0.07746706157922745]
[-96.9907455444336, -0.01480644941329956]
[-97.40839385986328, -0.01594022661447525]
[-97.81593322753906, 0.02829986996948719]
[-98.25086212158203, -0.08060846477746964]
[-98.68598175048828, 0.0040351999923586845]
[-99.127197265625, -0.01862698420882225]
[-99.58360290527344, 0.049992360174655914]
[-100.06809997558594, 0.019329547882080078]
[-100.5587158203125, -0.04130331426858902]
[-101.0524673461914, 0.05522063747048378]
[-101.55494689941406, -0.01060803234577179]
[-102.09320831298828, -0.11036357283592224]
[-102.5600814819336, -0.09935029596090317]
[-103.10777282714844, -0.01885228417813778]
[-103.64079284667969, -0.00015041431470308453]
[-104.20574951171875, 0.012756486423313618]
[-104.76862335205078, -0.0659884512424469]
[-105.33323669433594, -0.05209362134337425]
[-105.91268920898438, -0.024222860112786293]
[-106.46247100830078, -0.015757856890559196]
[-107.02655792236328, 0.012956992723047733]
[-107.56935119628906, 0.017658714205026627]
[-108.10639190673828, 0.004756465088576078]
[-108.64569854736328, -0.04166290536522865]
[-109.17069244384766, -0.09664072096347809]
[-109.67369842529297, -0.06637483090162277]
[-110.17861938476562, -0.04350776970386505]
[-110.6341552734375, -0.10223682969808578]
[-111.08828735351562, -0.03438417240977287]
[-111.56790924072266, 0.01465313695371151]
[-112.0531005859375, -0.05451808497309685]
[-112.52835845947266, -0.002451980719342828]
[-113.00920104980469, -0.04299278184771538]
[-113.479736328125, -0.026547202840447426]
[-113.96424102783203, 0.047223787754774094]
[-114.47318267822266, -0.41579875349998474]
[-115.06449890136719, 0.06256227195262909]
[-115.51741027832031, -0.006529569625854492]
[-116.01936340332031, -0.017513666301965714]
[-116.54279327392578, 0.06317728757858276]
[-117.08454132080078, 0.0057720281183719635]
[-117.63257598876953, -0.006131432019174099]
[-118.18165588378906, -0.0006259718793444335]
[-118.71886444091797, -0.0850415751338005]
[-119.2936019897461, 0.014560173265635967]
[-119.90586853027344, 0.020573049783706665]
[-120.51342010498047, 0.02480313926935196]
[-121.10769653320312, -0.012079502455890179]
[-121.74212646484375, -0.013453341089189053]
[-122.39313507080078, -0.0907377302646637]
[-123.03418731689453, 0.04197881743311882]
[-123.69148254394531, 0.02080853469669819]
[-124.3534927368164, -0.011430928483605385]
[-125.01392364501953, -0.039384130388498306]
[-125.6808090209961, -0.05464347079396248]
[-126.36132049560547, 0.00036839008680544794]
[-127.00272369384766, -0.042471010237932205]
[-127.71220397949219, -0.011717080138623714]
[-128.40753173828125, 0.04212059825658798]
[-129.13446044921875, -0.020796675235033035]
[-129.8488311767578, -0.0935777798295021]
