[-31.131261825561523, 0.018594061955809593]
[-30.937009811401367, 0.018436402082443237]
[-30.767885208129883, 0.030079714953899384]
[-30.56525230407715, 0.059589043259620667]
[-30.37623405456543, -0.03397059068083763]
[-30.203447341918945, 0.022557523101568222]
[-30.056663513183594, 0.015327454544603825]
[-29.921924591064453, 0.058530621230602264]
[-29.778284072875977, -0.02614024095237255]
[-29.63987922668457, 0.044709574431180954]
[-29.51700782775879, -0.051035039126873016]
[-29.397977828979492, -0.043434396386146545]
[-29.289939880371094, -0.015464863739907742]
[-29.182254791259766, 0.055837567895650864]
[-29.098478317260742, 0.05019501969218254]
[-29.025699615478516, 0.0594085156917572]
[-28.962865829467773, 0.011308806017041206]
[-28.91469383239746, 0.03330038860440254]
[-28.87053871154785, 0.010827451944351196]
[-28.83213996887207, 0.06136608496308327]
[-28.802820205688477, 0.0012373337522149086]
[-28.789730072021484, -0.016561279073357582]
[-28.779781341552734, -0.018442222848534584]
[-28.778560638427734, 0.03495113551616669]
[-28.782573699951172, -0.029033642262220383]
[-28.794443130493164, -0.023896440863609314]
[-28.80438995361328, 0.001587528153322637]
[-28.83371353149414, -0.013933979906141758]
[-28.87926483154297, -0.05318990349769592]
[-28.927959442138672, 0.00960258673876524]
[-28.98695182800293, -0.0010344319744035602]
[-29.046466827392578, -0.04458305239677429]
[-29.11383628845215, -0.06506304442882538]
[-29.179811477661133, -0.023545296862721443]
[-29.253812789916992, -0.005880062002688646]
[-29.336191177368164, -0.02386675402522087]
[-29.432708740234375, 0.03889644518494606]
[-29.54999351501465, 0.04266864433884621]
[-29.67216682434082, -0.03634839504957199]
[-29.791025161743164, 0.07754530757665634]
[-29.90953254699707, 0.009621276520192623]
[-30.026470184326172, -0.0005454424535855651]
[-30.152482986450195, -0.009088811464607716]
[-30.304500579833984, 0.037188541144132614]
[-30.45686912536621, -0.042035918682813644]
[-30.623371124267578, -0.020544379949569702]
[-30.811519622802734, -0.044865138828754425]
[-30.992509841918945, 0.017289673909544945]
[-31.16739273071289, -0.054000139236450195]
[-31.34925651550293, -0.042713940143585205]
[-31.551189422607422, -0.007493189070373774]
[-31.758010864257812, 0.02258423902094364]
[-31.951915740966797, 0.017680248245596886]
[-32.180381774902344, -0.030018365010619164]
[-32.42280578613281, -0.05406319722533226]
[-32.643070220947266, -0.034554578363895416]
[-32.882877349853516, 0.01977158710360527]
[-33.14153289794922, 0.03002024255692959]
[-33.39739990234375, -0.02490956522524357]
[-33.6834602355957, -0.061233315616846085]
[-33.95817184448242, 0.005109658930450678]
[-34.210723876953125, -0.008463244885206223]
[-34.479854583740234, 0.020321933552622795]
[-34.769752502441406, 0.03835923224687576]
[-35.04743576049805, 0.017871668562293053]
[-35.33646011352539, 0.00047332278336398304]
[-35.611873626708984, 0.03137294948101044]
[-35.850460052490234, -0.08879491686820984]
[-36.097599029541016, 0.02840208075940609]
[-36.349449157714844, -0.054674383252859116]
[-36.5899543762207, 0.05435451120138168]
[-36.84250259399414, -0.04812166094779968]
[-37.08335876464844, -0.05535799637436867]
[-37.268192291259766, -0.09936671704053879]
[-37.44743728637695, -0.02543925866484642]
[-37.643611907958984, 0.0049857497215271]
[-37.85340118408203, -0.002501120325177908]
[-38.05306625366211, 0.006157698575407267]
[-38.23929214477539, -0.024284321814775467]
[-38.411380767822266, -0.003778330748900771]
[-38.55362319946289, -0.0012496134731918573]
[-38.702152252197266, -0.043202124536037445]
[-38.845619201660156, -0.022122584283351898]
[-38.981056213378906, -0.011494820937514305]
[-39.104976654052734, 0.031328193843364716]
[-39.23133850097656, -0.04461488127708435]
[-39.35211181640625, -0.043965134769678116]
[-39.45997619628906, -0.007369501516222954]
[-39.56382369995117, 0.009620269760489464]
[-39.66819381713867, -0.005725415423512459]
[-39.7572021484375, -0.03330905735492706]
[-39.844993591308594, -0.04658089950680733]
[-39.927371978759766, -0.03232884779572487]
[-40.00189971923828, -0.05262308195233345]
[-40.08637237548828, -0.04848477989435196]
[-40.17451477050781, 0.04870035871863365]
[-40.26264953613281, 0.02317134663462639]
[-40.361087799072266, -0.02756095491349697]
[-40.471046447753906, -0.06040298193693161]
[-40.59531021118164, 0.053968168795108795]
[-40.72149658203125, -0.048687975853681564]
[-40.86252212524414, 0.04763250797986984]
[-41.0038948059082, -0.011849537491798401]
[-41.174583435058594, 0.06864858418703079]
[-41.3402214050293, 0.04273742064833641]
[-41.51980972290039, 0.0005685143987648189]
[-41.70708465576172, -0.02193802036345005]
[-41.90395736694336, -0.011218525469303131]
[-42.11723709106445, 0.005356378387659788]
[-42.339073181152344, -0.029177803546190262]
[-42.566314697265625, 0.030017545446753502]
[-42.81275177001953, -0.0004469600098673254]
[-43.060237884521484, -0.040858857333660126]
[-43.30912399291992, -0.021249033510684967]
[-43.577205657958984, 0.04719194024801254]
[-43.837432861328125, 0.02827615477144718]
[-44.10831069946289, -0.0336853452026844]
[-44.39384841918945, 0.05111050233244896]
[-44.70189666748047, 0.033525630831718445]
[-45.028968811035156, 0.025516511872410774]
[-45.36267852783203, 0.035582877695560455]
[-45.70947265625, -0.037120528519153595]
[-46.07162857055664, -0.013533963821828365]
[-46.40289306640625, -0.026472678408026695]
[-46.78355026245117, 0.004246630240231752]
[-47.174678802490234, 0.02044941671192646]
[-47.578372955322266, -0.0112752765417099]
[-47.97822952270508, 0.02819269336760044]
[-48.406009674072266, -0.013067744672298431]
[-48.840248107910156, 0.008185061626136303]
[-49.281986236572266, -0.012794680893421173]
[-49.7347297668457, -0.026573944836854935]
[-50.21451950073242, -0.03224905580282211]
[-50.70303726196289, -0.053837522864341736]
[-51.20464324951172, 0.007317801937460899]
[-51.70939254760742, -0.003514290787279606]
[-52.163002014160156, -0.03171122819185257]
[-52.650821685791016, -0.030818568542599678]
[-53.16377639770508, -0.03660282865166664]
[-53.609012603759766, 0.02890566550195217]
[-54.07099914550781, 0.05667777359485626]
[-54.52024841308594, 0.008325742557644844]
[-54.953956604003906, -0.025266973301768303]
[-55.3885498046875, 0.016906099393963814]
[-55.81737518310547, -0.041250377893447876]
[-56.22124481201172, 0.01251454558223486]
[-56.630348205566406, 0.022031277418136597]
[-57.020606994628906, 0.014651589095592499]
[-57.431976318359375, -0.0275698471814394]
[-57.8056526184082, 0.05377881973981857]
[-58.1784553527832, -0.0364297553896904]
[-58.52595138549805, -0.013770186342298985]
[-58.88740921020508, -0.018296808004379272]
[-59.22513198852539, 0.047490064054727554]
[-59.55953598022461, 0.004458880517631769]
[-59.901798248291016, 0.034199271351099014]
[-60.211936950683594, 0.046761441975831985]
[-60.48054504394531, -0.029443804174661636]
[-60.778648376464844, -0.0198846273124218]
[-61.09333038330078, 0.028815126046538353]
[-61.388641357421875, 0.027360636740922928]
[-61.6462516784668, -0.00971293170005083]
[-61.91520690917969, -0.04149303212761879]
[-62.187652587890625, -0.01606406271457672]
[-62.445091247558594, 0.027415497228503227]
[-62.69554138183594, 0.03376665711402893]
[-62.945823669433594, 0.0006700284429825842]
[-63.183536529541016, 0.04271755740046501]
[-63.41933059692383, 0.04019499942660332]
[-63.617950439453125, 0.01509527862071991]
[-63.82215118408203, -0.025083662942051888]
[-64.0256576538086, 0.05307857319712639]
[-64.23579406738281, -0.03190118446946144]
[-64.45797729492188, -0.011617586947977543]
[-64.69725799560547, 0.036849528551101685]
[-64.94876098632812, 0.0009048776119016111]
[-65.21719360351562, -0.003785579465329647]
[-65.50569915771484, 0.046000462025403976]
[-65.81776428222656, -0.00865844264626503]
[-66.16123962402344, -0.02223615162074566]
[-66.5007095336914, 0.03772355616092682]
[-66.86077117919922, -0.013192975893616676]
[-67.2403793334961, 0.05148753523826599]
[-67.63325500488281, -0.006605908274650574]
[-68.07185363769531, 0.026594744995236397]
[-68.44744873046875, 0.0029128657188266516]
[-68.8675537109375, -0.053577668964862823]
[-69.29585266113281, 0.045352526009082794]
[-69.70321655273438, -0.07876458764076233]
[-70.17584991455078, 0.006665239110589027]
[-70.64307403564453, 0.015683209523558617]
[-71.1514892578125, -0.015354705974459648]
[-71.67945098876953, -0.07707894593477249]
[-72.2405776977539, 0.03381829708814621]
[-72.7872085571289, 0.031166229397058487]
[-73.35269165039062, -0.012393904849886894]
[-73.94279479980469, -0.017810529097914696]
[-74.54877471923828, 0.001741559593938291]
[-75.18773651123047, 0.052867818623781204]
[-75.80191802978516, -0.0003538966702762991]
[-76.37997436523438, -0.03420840948820114]
[-77.0027084350586, -0.026705266907811165]
[-77.54812622070312, 0.06068524345755577]
[-78.15828704833984, -0.09899979829788208]
[-78.75240325927734, -0.037840381264686584]
[-79.3451156616211, -0.07676418870687485]
[-79.91914367675781, -0.0006081744213588536]
[-80.47608184814453, 0.005356722977012396]
[-81.041748046875, -0.02676534280180931]
[-81.58367156982422, 0.015492265112698078]
[-82.09487915039062, -0.04305331036448479]
[-82.61567687988281, 0.0202231053262949]
[-83.11781311035156, 0.02314116433262825]
[-83.63146209716797, 0.015047067776322365]
[-84.14965057373047, 0.029441770166158676]
[-84.5915756225586, 0.0017270224634557962]
[-85.06891632080078, -0.07386939972639084]
[-85.54591369628906, 0.027892813086509705]
[-85.98870849609375, -0.0705660805106163]
[-86.46971893310547, 0.0201309435069561]
[-86.9262924194336, -0.011461283080279827]
[-87.37223052978516, -0.028028642758727074]
[-87.80943298339844, 0.04702012985944748]
[-88.2461166381836, -0.01417933963239193]
[-88.66464233398438, 0.010176802054047585]
[-89.08998107910156, 0.027382757514715195]
[-89.50031280517578, 6.131095869932324e-05]
[-89.89457702636719, 0.019465666264295578]
[-90.27767181396484, 0.06963746249675751]
[-90.65501403808594, -0.06747796386480331]
[-91.01595306396484, -0.015720674768090248]
[-91.37356567382812, 0.023636622354388237]
[-91.71565246582031, 0.04893966391682625]
[-92.06786346435547, 0.049143578857183456]
[-92.39651489257812, -0.04546244069933891]
[-92.69252014160156, -0.03938455879688263]
[-93.02901458740234, 0.016722925007343292]
[-93.39640808105469, 0.01689673401415348]
[-93.83326721191406, -0.044418610632419586]
[-94.1598129272461, -0.0289315078407526]
[-94.53314208984375, 0.029908178374171257]
[-94.90908813476562, -0.02335648611187935]
[-95.31016540527344, 0.02229100838303566]
[-95.732177734375, 0.011620133183896542]
[-96.14757537841797, 0.052396081387996674]
[-96.57325744628906, -0.030680960044264793]
[-97.0167465209961, 0.038478072732686996]
[-97.45674133300781, 0.013100946322083473]
[-97.91873168945312, 0.019573425874114037]
[-98.42417907714844, 0.10792885720729828]
[-98.90536499023438, 0.001999684376642108]
[-99.39213562011719, -0.03764669597148895]
[-99.88780975341797, 0.00018311313760932535]
[-100.43637084960938, -0.08388853073120117]
[-100.90499114990234, -0.10127880424261093]
[-101.4404525756836, -0.022719966247677803]
[-101.9623031616211, -0.07228577882051468]
